NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=2838.856s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,udp,nw_src=192.168.5.106,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2838.855s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,udp,nw_src=192.168.5.134,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2838.853s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,udp,nw_src=192.168.5.162,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2838.852s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,udp,nw_src=192.168.5.190,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2838.850s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,udp,nw_src=192.168.5.124,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2838.848s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,udp,nw_src=192.168.5.152,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2838.847s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,udp,nw_src=192.168.5.180,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2838.845s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,udp,nw_src=192.168.5.208,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2838.845s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.100,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2838.843s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.128,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2838.841s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.156,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2838.838s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.184,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2838.835s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.113,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
 cookie=0x0, duration=2838.834s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.141,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
 cookie=0x0, duration=2838.832s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.169,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
 cookie=0x0, duration=2838.830s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.197,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
 cookie=0x0, duration=2838.828s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.122,nw_dst=34.240.169.254,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2838.827s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.150,nw_dst=34.240.169.254,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2838.824s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.178,nw_dst=34.240.169.254,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2838.821s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.206,nw_dst=34.240.169.254,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2838.819s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.100,nw_dst=176.32.98.203,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2838.818s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.128,nw_dst=176.32.98.203,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2838.816s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.156,nw_dst=176.32.98.203,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2838.814s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.184,nw_dst=176.32.98.203,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2838.812s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.103,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.811s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.106,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.809s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.109,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.807s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.110,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.805s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.114,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.804s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.118,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.804s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.120,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.802s, table=0, n_packets=25, n_bytes=1350, idle_age=782, priority=200,tcp,nw_src=192.168.5.121,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.800s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.123,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.797s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.124,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.797s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.131,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.794s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.134,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.792s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.137,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.790s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.138,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=2838.789s, table=0, n_packets=0, n_bytes=0, idle_age=2838, priority=200,tcp,nw_src=192.168.5.142,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
