NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=4896.805s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.100,nw_dst=108.61.73.243,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=4896.804s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.100,nw_dst=34.239.12.200,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=4896.804s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=99.84.23.45,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=4896.803s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=52.94.209.132,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=4896.803s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.100,nw_dst=216.197.228.230,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=4896.802s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=54.239.31.104,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=4896.802s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.100,nw_dst=216.229.0.49,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=4896.802s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.100,nw_dst=173.0.48.220,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=4896.801s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=4896.801s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.100,nw_dst=208.67.220.220,tp_dst=53 actions=NORMAL
 cookie=0x0, duration=4896.800s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=52.46.150.144,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=4896.800s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=52.216.86.3,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=4896.800s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=72.21.195.82,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=4896.799s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=35.201.97.239,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=4896.799s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=99.84.16.84,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=4896.799s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.100,nw_dst=23.23.78.11,tp_dst=33434 actions=NORMAL
 cookie=0x0, duration=4896.798s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=176.32.98.203,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=4896.798s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=99.84.16.76,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=4896.798s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=205.251.243.137,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=4896.798s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,tcp,nw_src=192.168.5.100,nw_dst=52.119.169.224,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=4896.797s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.100,nw_dst=192.168.5.1,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.797s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.100,nw_dst=192.168.5.1,tp_dst=53 actions=NORMAL
 cookie=0x0, duration=4896.797s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.100,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.797s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.101,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.796s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.101,tp_dst=547 actions=NORMAL
 cookie=0x0, duration=4896.796s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.102,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.796s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.103,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.795s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.104,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.795s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.105,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.795s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.106,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.794s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.107,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.794s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.108,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.794s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.109,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.793s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.109,tp_dst=547 actions=NORMAL
 cookie=0x0, duration=4896.793s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.110,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.793s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.111,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.793s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.112,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.792s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.113,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.792s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.114,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.792s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.115,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.791s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.116,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.791s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.117,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.791s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.118,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.790s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.119,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.790s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.120,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.790s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.121,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.789s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.122,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.789s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.123,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.789s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.124,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.788s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.125,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.788s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.126,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.788s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.127,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.788s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.128,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.787s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.129,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.787s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.129,tp_dst=547 actions=NORMAL
 cookie=0x0, duration=4896.787s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.130,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.786s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.131,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.786s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.132,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.786s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.133,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.785s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.134,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.785s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.135,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.785s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.136,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.784s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.137,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.784s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.137,tp_dst=547 actions=NORMAL
 cookie=0x0, duration=4896.784s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.138,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.784s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.139,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.783s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.140,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.783s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.141,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.783s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.142,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.782s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.143,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.782s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.144,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.782s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.145,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.782s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.146,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.781s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.147,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.781s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.148,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.780s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.149,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.780s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.150,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.780s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.151,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.779s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.152,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.779s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.153,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.779s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.154,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.779s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.155,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.778s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.156,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.778s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.157,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.778s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.157,tp_dst=547 actions=NORMAL
 cookie=0x0, duration=4896.778s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.158,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.777s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.159,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.777s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.160,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.777s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.161,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.776s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.162,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.776s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.163,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.776s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.164,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.776s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.165,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.775s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.165,tp_dst=547 actions=NORMAL
 cookie=0x0, duration=4896.775s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.166,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.774s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.167,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.774s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.168,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.774s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.169,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.774s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.170,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.773s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.171,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.773s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.172,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.773s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.173,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.772s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.174,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.772s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.175,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.772s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.176,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.772s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.177,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.771s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.178,tp_dst=67 actions=NORMAL
 cookie=0x0, duration=4896.771s, table=0, n_packets=0, n_bytes=0, idle_age=4896, priority=100,udp,nw_src=192.168.5.1,nw_dst=192.168.5.179,tp_dst=67 actions=NORMAL
