NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=2871.547s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,udp,nw_src=192.168.5.106,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2871.546s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,udp,nw_src=192.168.5.134,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2871.544s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,udp,nw_src=192.168.5.162,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2871.542s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,udp,nw_src=192.168.5.190,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2871.541s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,udp,nw_src=192.168.5.124,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2871.539s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,udp,nw_src=192.168.5.152,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2871.538s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,udp,nw_src=192.168.5.180,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2871.537s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,udp,nw_src=192.168.5.208,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2871.537s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,tcp,nw_src=192.168.5.100,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2871.537s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,tcp,nw_src=192.168.5.128,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2871.535s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,tcp,nw_src=192.168.5.156,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2871.534s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,tcp,nw_src=192.168.5.184,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2871.534s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,tcp,nw_src=192.168.5.113,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
 cookie=0x0, duration=2871.533s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,tcp,nw_src=192.168.5.141,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
 cookie=0x0, duration=2871.532s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,tcp,nw_src=192.168.5.169,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
 cookie=0x0, duration=2871.531s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,tcp,nw_src=192.168.5.197,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
 cookie=0x0, duration=2871.530s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,tcp,nw_src=192.168.5.122,nw_dst=34.240.169.254,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2871.528s, table=0, n_packets=0, n_bytes=0, idle_age=2871, priority=200,tcp,nw_src=192.168.5.150,nw_dst=34.240.169.254,tp_dst=443 actions=NORMAL
