NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=672.174s, table=0, n_packets=2143, n_bytes=1187222, idle_age=323, priority=200,udp,nw_src=192.168.5.106,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=672.173s, table=0, n_packets=586, n_bytes=324644, idle_age=323, priority=200,udp,nw_src=192.168.5.134,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=672.172s, table=0, n_packets=2072, n_bytes=1147888, idle_age=321, priority=200,udp,nw_src=192.168.5.162,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=672.171s, table=0, n_packets=317, n_bytes=175618, idle_age=323, priority=200,udp,nw_src=192.168.5.190,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=672.170s, table=0, n_packets=3227, n_bytes=1787758, idle_age=283, priority=200,udp,nw_src=192.168.5.124,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=672.170s, table=0, n_packets=5045, n_bytes=2794930, idle_age=283, priority=200,udp,nw_src=192.168.5.152,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=672.169s, table=0, n_packets=4524, n_bytes=2506296, idle_age=283, priority=200,udp,nw_src=192.168.5.180,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=672.168s, table=0, n_packets=2488, n_bytes=1378352, idle_age=283, priority=200,udp,nw_src=192.168.5.208,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=672.167s, table=0, n_packets=1664, n_bytes=123136, idle_age=263, priority=200,tcp,nw_src=192.168.5.100,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=672.167s, table=0, n_packets=731, n_bytes=54094, idle_age=262, priority=200,tcp,nw_src=192.168.5.128,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=672.166s, table=0, n_packets=2106, n_bytes=155844, idle_age=261, priority=200,tcp,nw_src=192.168.5.156,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=672.165s, table=0, n_packets=1406, n_bytes=104044, idle_age=262, priority=200,tcp,nw_src=192.168.5.184,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=672.164s, table=0, n_packets=2762, n_bytes=1563292, idle_age=242, priority=200,tcp,nw_src=192.168.5.113,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
 cookie=0x0, duration=672.163s, table=0, n_packets=578, n_bytes=327148, idle_age=243, priority=200,tcp,nw_src=192.168.5.141,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
