NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=2617.468s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,udp,nw_src=192.168.5.106,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2617.465s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,udp,nw_src=192.168.5.134,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2617.461s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,udp,nw_src=192.168.5.162,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2617.457s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,udp,nw_src=192.168.5.190,nw_dst=172.217.29.110,tp_dst=443 actions=NORMAL
 cookie=0x0, duration=2617.454s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,udp,nw_src=192.168.5.124,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2617.451s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,udp,nw_src=192.168.5.152,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2617.447s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,udp,nw_src=192.168.5.180,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2617.443s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,udp,nw_src=192.168.5.208,nw_dst=130.149.17.8,tp_dst=123 actions=NORMAL
 cookie=0x0, duration=2617.441s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,tcp,nw_src=192.168.5.100,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2617.440s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,tcp,nw_src=192.168.5.128,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2617.437s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,tcp,nw_src=192.168.5.156,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2617.431s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,tcp,nw_src=192.168.5.184,nw_dst=93.184.216.34,tp_dst=80 actions=NORMAL
 cookie=0x0, duration=2617.428s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,tcp,nw_src=192.168.5.113,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
 cookie=0x0, duration=2617.425s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,tcp,nw_src=192.168.5.141,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
 cookie=0x0, duration=2617.423s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=200,tcp,nw_src=192.168.5.169,nw_dst=35.174.82.237,tp_dst=11095 actions=NORMAL
